"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,"What does ""Revenue"" mean in business terms?",Money from sales,Money spent on production/operations,Money saved in the bank,Money borrowed from investors,45,1,,,,,,,,,,,,,,,,,,
2,"Which term describes ""money spent on production/operations""?",Revenue,Cost,Profit,Demand,45,2,,,,,,,,,,,,,,,,,,
3,"A company's rent payment of $5,000 per month is an example of which type of cost?",Fixed Cost,Variable Cost,Revenue,Profit,45,1,,,,,,,,,,,,,,,,,,
4,Which type of cost changes when production changes?,Fixed Cost,Variable Cost,Total Revenue,Break-Even Cost,45,2,,,,,,,,,,,,,,,,,,
5,"If a company has revenue of $10,000 and costs of $7,000, what is their profit?","$3,000","$17,000","$7,000","$10,000",60,1,,,,,,,,,,,,,,,,,,
6,"What does ""Profit"" show a business?",How many customers they have,If they're making money or losing money,How much they owe in taxes,How many products they sold,45,2,,,,,,,,,,,,,,,,,,
7,How many buy at price X is the definition of which business term?,Supply,Revenue,Demand,Cost,45,3,,,,,,,,,,,,,,,,,,
8,"At the break-even point, what equals zero?",Revenue,Cost,Demand,Profit,45,4,,,,,,,,,,,,,,,,,,
9,"The ""amount charged for a good or service"" is called the:",Cost,Revenue,Price,Profit,45,3,,,,,,,,,,,,,,,,,,
10,"If Total Cost = Fixed Cost + Variable Cost, and Fixed Cost is $1,000 and Variable Cost is $3,000, what is the Total Cost?","$4,000","$2,000","$3,000","$1,000",60,1,,,,,,,,,,,,,,,,,,
11,A factory's electricity bill that increases with more production hours is an example of:,Fixed Cost,Variable Cost,Revenue,Break-Even,45,2,,,,,,,,,,,,,,,,,,
12,"When profit equals zero, a business has reached its:",Maximum revenue,Minimum cost,Break-even point,Demand limit,45,3,,,,,,,,,,,,,,,,,,
13,"If Revenue = $5,000 and Profit = $1,500, what must the Cost be?","$6,500","$3,500","$5,000","$1,500",60,2,,,,,,,,,,,,,,,,,,
14,Raw materials for production would be classified as:,Fixed Cost,Variable Cost,Revenue,Demand,45,2,,,,,,,,,,,,,,,,,,
15,Insurance payments that stay the same each month are an example of:,Variable Cost,Revenue,Fixed Cost,Profit,45,3,,,,,,,,,,,,,,,,,,
16,"If a store sells 100 items at $20 each, what is their revenue?","$2,000",$120,$80,"$1,000",60,1,,,,,,,,,,,,,,,,,,
17,The relationship Total Cost = Fixed Cost + Variable Cost means that Total Cost will:,Always equal Fixed Cost,Never change,Increase when Variable Cost increases,Decrease when production increases,45,3,,,,,,,,,,,,,,,,,,
18,"At higher prices, demand typically:",Increases,Decreases,Stays the same,Doubles,45,2,,,,,,,,,,,,,,,,,,
19,"If Fixed Costs are $2,000, Variable Costs are $3,000, and Revenue is $5,000, what is the profit?",$0,"$1,000","$2,000","$10,000",60,1,,,,,,,,,,,,,,,,,,
20,Employee salaries that don't change with production levels are categorized as:,Variable Costs,Fixed Costs,Revenue,Demand,45,2,,,,,,,,,,,,,,,,,,
21,"When Revenue minus Cost equals a negative number, this indicates:",The business is losing money,The business is at break-even,The business is making profit,The demand is too high,45,1,,,,,,,,,,,,,,,,,,
22,"If demand is 500 units at a price of $10, this means:",500 people will buy at $10 each,The profit is $500,The cost is $10 per unit,Revenue equals $10,45,1,,,,,,,,,,,,,,,,,,
23,"To calculate profit, which formula should you use?",Profit = Revenue + Cost,Profit = Revenue - Cost,Profit = Cost - Revenue,Profit = Fixed Cost + Variable Cost,45,2,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
