business,price_usd,demand_customers,variable_cost_per_item_usd,fixed_cost_per_day_usd,revenue_usd,total_cost_usd,profit_usd
"Mandee's Pizza - 16"" Specialty Slice Deal",15.0,85,7.2,260,1275.0,872.0,403.0
"Mandee's Pizza - 16"" Specialty Slice Deal",15.43,81,7.2,260,1249.71,843.2,406.51
"Mandee's Pizza - 16"" Specialty Slice Deal",15.86,79,7.2,260,1252.71,828.8,423.91
"Mandee's Pizza - 16"" Specialty Slice Deal",16.29,81,7.2,260,1319.14,843.2,475.94
"Mandee's Pizza - 16"" Specialty Slice Deal",16.71,80,7.2,260,1337.14,836.0,501.14
"Mandee's Pizza - 16"" Specialty Slice Deal",17.14,78,7.2,260,1337.14,821.6,515.54
"Mandee's Pizza - 16"" Specialty Slice Deal",17.57,72,7.2,260,1265.14,778.4,486.74
"Mandee's Pizza - 16"" Specialty Slice Deal",18.0,73,7.2,260,1314.0,785.6,528.4
"Mandee's Pizza - 16"" Specialty Slice Deal",18.43,71,7.2,260,1308.43,771.2,537.23
"Mandee's Pizza - 16"" Specialty Slice Deal",18.86,69,7.2,260,1301.14,756.8,544.34
"Mandee's Pizza - 16"" Specialty Slice Deal",19.29,69,7.2,260,1330.71,756.8,573.91
"Mandee's Pizza - 16"" Specialty Slice Deal",19.71,66,7.2,260,1301.14,735.2,565.94
"Mandee's Pizza - 16"" Specialty Slice Deal",20.14,65,7.2,260,1309.29,728.0,581.29
"Mandee's Pizza - 16"" Specialty Slice Deal",20.57,62,7.2,260,1275.43,706.4,569.03
"Mandee's Pizza - 16"" Specialty Slice Deal",21.0,61,7.2,260,1281.0,699.2,581.8
"Mandee's Pizza - 16"" Specialty Slice Deal",21.43,60,7.2,260,1285.71,692.0,593.71
"Mandee's Pizza - 16"" Specialty Slice Deal",21.86,52,7.2,260,1136.57,634.4,502.17
"Mandee's Pizza - 16"" Specialty Slice Deal",22.29,54,7.2,260,1203.43,648.8,554.63
"Mandee's Pizza - 16"" Specialty Slice Deal",22.71,51,7.2,260,1158.43,627.2,531.23
"Mandee's Pizza - 16"" Specialty Slice Deal",23.14,49,7.2,260,1134.0,612.8,521.2
"Mandee's Pizza - 16"" Specialty Slice Deal",23.57,48,7.2,260,1131.43,605.6,525.83
"Mandee's Pizza - 16"" Specialty Slice Deal",24.0,51,7.2,260,1224.0,627.2,596.8
"Mandee's Pizza - 16"" Specialty Slice Deal",24.43,43,7.2,260,1050.43,569.6,480.83
"Mandee's Pizza - 16"" Specialty Slice Deal",24.86,46,7.2,260,1143.43,591.2,552.23
"Mandee's Pizza - 16"" Specialty Slice Deal",25.29,37,7.2,260,935.57,526.4,409.17
"Mandee's Pizza - 16"" Specialty Slice Deal",25.71,39,7.2,260,1002.86,540.8,462.06
"Mandee's Pizza - 16"" Specialty Slice Deal",26.14,39,7.2,260,1019.57,540.8,478.77
"Mandee's Pizza - 16"" Specialty Slice Deal",26.57,38,7.2,260,1009.71,533.6,476.11
"Mandee's Pizza - 16"" Specialty Slice Deal",27.0,37,7.2,260,999.0,526.4,472.6
"Mandee's Pizza - 16"" Specialty Slice Deal",27.43,35,7.2,260,960.0,512.0,448.0
"Mandee's Pizza - 16"" Specialty Slice Deal",27.86,30,7.2,260,835.71,476.0,359.71
"Mandee's Pizza - 16"" Specialty Slice Deal",28.29,28,7.2,260,792.0,461.6,330.4
"Mandee's Pizza - 16"" Specialty Slice Deal",28.71,30,7.2,260,861.43,476.0,385.43
"Mandee's Pizza - 16"" Specialty Slice Deal",29.14,25,7.2,260,728.57,440.0,288.57
"Mandee's Pizza - 16"" Specialty Slice Deal",29.57,20,7.2,260,591.43,404.0,187.43
"Mandee's Pizza - 16"" Specialty Slice Deal",30.0,19,7.2,260,570.0,396.8,173.2
