business,price_usd,demand_customers,variable_cost_per_item_usd,fixed_cost_per_day_usd,revenue_usd,total_cost_usd,profit_usd
Yas Chicken - Combo Meal,8.0,92,4.1,150,736.0,527.2,208.8
Yas Chicken - Combo Meal,8.2,95,4.1,150,779.0,539.5,239.5
Yas Chicken - Combo Meal,8.4,92,4.1,150,772.8,527.2,245.6
Yas Chicken - Combo Meal,8.6,92,4.1,150,791.2,527.2,264.0
Yas Chicken - Combo Meal,8.8,87,4.1,150,765.6,506.7,258.9
Yas Chicken - Combo Meal,9.0,86,4.1,150,774.0,502.6,271.4
Yas Chicken - Combo Meal,9.2,86,4.1,150,791.2,502.6,288.6
Yas Chicken - Combo Meal,9.4,81,4.1,150,761.4,482.1,279.3
Yas Chicken - Combo Meal,9.6,82,4.1,150,787.2,486.2,301.0
Yas Chicken - Combo Meal,9.8,77,4.1,150,754.6,465.7,288.9
Yas Chicken - Combo Meal,10.0,76,4.1,150,760.0,461.6,298.4
Yas Chicken - Combo Meal,10.2,74,4.1,150,754.8,453.4,301.4
Yas Chicken - Combo Meal,10.4,70,4.1,150,728.0,437.0,291.0
Yas Chicken - Combo Meal,10.6,73,4.1,150,773.8,449.3,324.5
Yas Chicken - Combo Meal,10.8,68,4.1,150,734.4,428.8,305.6
Yas Chicken - Combo Meal,11.0,68,4.1,150,748.0,428.8,319.2
Yas Chicken - Combo Meal,11.2,68,4.1,150,761.6,428.8,332.8
Yas Chicken - Combo Meal,11.4,66,4.1,150,752.4,420.6,331.8
Yas Chicken - Combo Meal,11.6,65,4.1,150,754.0,416.5,337.5
Yas Chicken - Combo Meal,11.8,61,4.1,150,719.8,400.1,319.7
Yas Chicken - Combo Meal,12.0,58,4.1,150,696.0,387.8,308.2
Yas Chicken - Combo Meal,12.2,57,4.1,150,695.4,383.7,311.7
Yas Chicken - Combo Meal,12.4,50,4.1,150,620.0,355.0,265.0
Yas Chicken - Combo Meal,12.6,49,4.1,150,617.4,350.9,266.5
Yas Chicken - Combo Meal,12.8,48,4.1,150,614.4,346.8,267.6
Yas Chicken - Combo Meal,13.0,47,4.1,150,611.0,342.7,268.3
Yas Chicken - Combo Meal,13.2,49,4.1,150,646.8,350.9,295.9
Yas Chicken - Combo Meal,13.4,44,4.1,150,589.6,330.4,259.2
Yas Chicken - Combo Meal,13.6,43,4.1,150,584.8,326.3,258.5
Yas Chicken - Combo Meal,13.8,47,4.1,150,648.6,342.7,305.9
Yas Chicken - Combo Meal,14.0,40,4.1,150,560.0,314.0,246.0
Yas Chicken - Combo Meal,14.2,41,4.1,150,582.2,318.1,264.1
Yas Chicken - Combo Meal,14.4,35,4.1,150,504.0,293.5,210.5
Yas Chicken - Combo Meal,14.6,35,4.1,150,511.0,293.5,217.5
Yas Chicken - Combo Meal,14.8,31,4.1,150,458.8,277.1,181.7
Yas Chicken - Combo Meal,15.0,31,4.1,150,465.0,277.1,187.9
